t,u,v,w,p,q,r,phi,theta,psi,north,east,down,aileron,elevator,rudder,throttle1,throttle2
1.170000000000000000e+02,1.390815598269230975e+02,-3.280947412058468713e-03,-1.324732884159598889e+01,2.583763989353425453e-04,6.178356106496267833e-03,-3.835644550928927620e-04,-5.313128243099325687e-03,-2.413987548716255982e-01,-2.125248248607601198e+00,1.461086695713757990e+03,-1.009654286961875732e+04,4.093250843577922751e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.180000000000000000e+02,1.386593631101456197e+02,-3.080657095939527690e-03,-1.320859968250556093e+01,2.425662153952357135e-04,5.639228067820858774e-03,-3.600447802010117715e-04,-4.965024252821487877e-03,-2.354888804028157645e-01,-2.125662001984838234e+00,1.388308419574363825e+03,-1.021388232386244272e+04,4.113213661977373704e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.190000000000000000e+02,1.382038663108156982e+02,-2.893334461091874327e-03,-1.316707422217793244e+01,2.277680645720420139e-04,5.066859881180069830e-03,-3.380949863053327002e-04,-4.641105691043313254e-03,-2.301351046854706595e-01,-2.126047058233472065e+00,1.315658814077417446e+03,-1.033091866120009945e+04,4.132334017257531741e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.200000000000000000e+02,1.377219165390464184e+02,-2.717875160056871641e-03,-1.312336475150783244e+01,2.138979805375905235e-04,4.468461765302512295e-03,-3.175763403988786501e-04,-4.339433260297298652e-03,-2.253670943571528806e-01,-2.126405453236910770e+00,1.243164996451498610e+03,-1.044761526943608078e+04,4.150690310516783029e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.210000000000000000e+02,1.372202855028866395e+02,-2.553293876931258394e-03,-1.307807582266844193e+01,2.008809094711590964e-04,3.851217984879958933e-03,-2.983651325033396607e-04,-4.058244241795679746e-03,-2.212073112802800390e-01,-2.126739077072891781e+00,1.170849884675630847e+03,-1.056394186945496767e+04,4.168365296337654399e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.220000000000000000e+02,1.367056075466565517e+02,-2.398712389354154713e-03,-1.303179861658749594e+01,1.886498356484633116e-04,3.222246502233137248e-03,-2.803511384491329901e-04,-3.795937670385243507e-03,-2.176710589865043788e-01,-2.127049684087307657e+00,1.098732219144234023e+03,-1.067987448774926816e+04,4.185444803607124413e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.230000000000000000e+02,1.361843214316108970e+02,-2.253348690896056147e-03,-1.298510564034392623e+01,1.771449786351206508e-04,2.588554878956620016e-03,-2.634362327839759365e-04,-3.551060179635290998e-03,-2.147665712228043478e-01,-2.127338902528102871e+00,1.026826642288263429e+03,-1.079539533769911031e+04,4.202016511916425770e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.240000000000000000e+02,1.356626159619992791e+02,-2.116507040545488518e-03,-1.293854576910641896e+01,1.663130531900240455e-04,1.956992192048918281e-03,-2.475331331145370559e-04,-3.322292592018262231e-03,-2.124951465040148535e-01,-2.127608243660576104e+00,9.551438290219260807e+02,-1.091049262094143160e+04,4.218168795062949357e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.250000000000000000e+02,1.351463795884631907e+02,-1.987568824287954620e-03,-1.289263965073914342e+01,1.561065846374667335e-04,1.334197028598151265e-03,-2.325642592535734072e-04,-3.108437304898895980e-03,-2.108513326633151552e-01,-2.127859110316867586e+00,8.836906606561491344e+02,-1.102516026049007814e+04,4.233989640693501315e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
1.260000000000000000e+02,1.346411541561691934e+02,-1.865984132659030898e-03,-1.284787549520486749e+01,1.464832737835961224e-04,7.265419535662516037e-04,-2.184606927035521442e-04,-2.908406503565819784e-03,-2.098231651632003758e-01,-2.128092804858268128e+00,8.124704349217234949e+02,-1.113939757723423281e+04,4.249565652836700792e+03,0.000000000000000000e+00,-1.000000000000000056e-01,0.000000000000000000e+00,8.000000000000000167e-02,8.000000000000000167e-02
