t,u,v,w,p,q,r,phi,theta,psi
6.600000000000000000e+01,2.391395432818328288e+02,2.893782584034209737e+00,-3.847011846803056301e+01,-3.332997863113176251e-01,1.968064012816583830e-02,4.727053721496056460e-02,-2.798119768814450570e+00,-1.375302771940748015e+00,-1.203521083353261645e+01
6.700000000000000000e+01,2.393030103475461488e+02,2.900997534876731621e+00,-3.849635142195094772e+01,-3.339236254859959674e-01,1.968215719548715992e-02,4.795396606144885360e-02,-2.869884237533969262e+00,-1.379693609482548489e+00,-1.230204600540625393e+01
6.800000000000000000e+01,2.394617823399534302e+02,2.907447464393981829e+00,-3.852079037864877620e+01,-3.344841949131622805e-01,1.950208273510991089e-02,4.857332313250907474e-02,-2.932483644587353666e+00,-1.387292077453032180e+00,-1.257850416021534379e+01
6.900000000000000000e+01,2.396143335576771563e+02,2.912717963684850364e+00,-3.854336052054813422e+01,-3.349526385161309960e-01,1.917485628952175433e-02,4.906963317032651817e-02,-2.981670332644322130e+00,-1.397421288073604106e+00,-1.286865961233623068e+01
7.000000000000000000e+01,2.397587175143038678e+02,2.916535986491774590e+00,-3.856400586069191405e+01,-3.353101941736394420e-01,1.874872138123732240e-02,4.940130658892342985e-02,-3.012576340832453070e+00,-1.409190852953406070e+00,-1.317721574363572401e+01
7.100000000000000000e+01,2.398929059784426272e+02,2.918792809171404823e+00,-3.858270890140382647e+01,-3.355498258206214834e-01,1.827939928158410152e-02,4.954773583749743499e-02,-3.019919407223656371e+00,-1.421485873643831610e+00,-1.350931485001123278e+01
7.200000000000000000e+01,2.400151067993491552e+02,2.919546055045779021e+00,-3.859950297840160260e+01,-3.356763287867016166e-01,1.782326190415907050e-02,4.951021650192498347e-02,-2.999048767993175435e+00,-1.432978558821158765e+00,-1.386950436854620961e+01
7.300000000000000000e+01,2.401240264494427095e+02,2.919001896202936486e+00,-3.861447686898800669e+01,-3.357050084610792573e-01,1.743088293523670576e-02,4.931022627762002980e-02,-2.948437928424636922e+00,-1.442217865610005756e+00,-1.425925109185717865e+01
7.400000000000000000e+01,2.402190516703585672e+02,2.917481213983394106e+00,-3.862777214306055384e+01,-3.356592268051972749e-01,1.714174714420029638e-02,4.898546168187149080e-02,-2.873302339824042928e+00,-1.447878993394696501e+00,-1.467332499924449607e+01
7.500000000000000000e+01,2.403003357866404315e+02,2.915375310764604322e+00,-3.863957436764408016e+01,-3.355672332374413647e-01,1.698067803683411120e-02,4.858430874203750055e-02,-2.787288650284672542e+00,-1.449176987362519320e+00,-1.509810636171494913e+01
7.600000000000000000e+01,2.403687874597032703e+02,2.913097487304974642e+00,-3.865009966858509216e+01,-3.354587340078078461e-01,1.695625824376627289e-02,4.815956432023211359e-02,-2.708176157066334966e+00,-1.446211562477527135e+00,-1.551587642597112904e+01
7.700000000000000000e+01,2.404259711543708136e+02,2.911036499106296471e+00,-3.865957837923039619e+01,-3.353616188726915026e-01,1.706122839596334664e-02,4.776222318989541832e-02,-2.649709528038355355e+00,-1.439916894861105412e+00,-1.591297392605511440e+01
7.800000000000000000e+01,2.404739379294329069e+02,2.909516863056662128e+00,-3.866823762117174113e+01,-3.352991816083639720e-01,1.727461011986515874e-02,4.743603054045709977e-02,-2.617206510002080044e+00,-1.431645383197857724e+00,-1.628417517365327427e+01
7.900000000000000000e+01,2.405150114003322699e+02,2.908769552264640179e+00,-3.867628467545216608e+01,-3.352880694227030611e-01,1.756513513916424865e-02,4.721331592957297985e-02,-2.609182760088140984e+00,-1.422738560840994593e+00,-1.663105702151173304e+01
8.000000000000000000e+01,2.405515564885595268e+02,2.908915091506635076e+00,-3.868389288609224508e+01,-3.353370948813944596e-01,1.789547903931633377e-02,4.711241755875109072e-02,-2.620969891957349862e+00,-1.414300114974016864e+00,-1.695836786738794189e+01
8.100000000000000000e+01,2.405857580046713622e+02,2.909959639344132043e+00,-3.869119155660773401e+01,-3.354469518522230076e-01,1.822678222690031491e-02,4.713680751778301370e-02,-2.647233264455755464e+00,-1.407140391738896712e+00,-1.727150117732927370e+01
8.200000000000000000e+01,2.406194327046094372e+02,2.911803395000574390e+00,-3.869826084161273627e+01,-3.356107959165094412e-01,1.852297321128453314e-02,4.727585597296605352e-02,-2.683045580699565669e+00,-1.401796834604056130e+00,-1.757541616798015838e+01
8.300000000000000000e+01,2.406538929074587543e+02,2.914259608193556339e+00,-3.870513203112995626e+01,-3.358155776912817303e-01,1.875447426631711434e-02,4.750702917970173883e-02,-2.724130868785050730e+00,-1.398571505645785473e+00,-1.787439145853149824e+01
8.400000000000000000e+01,2.406898728389402891e+02,2.917081594858300875e+00,-3.871179295224314387e+01,-3.360439536576156350e-01,1.890095707161193114e-02,4.779920118018136932e-02,-2.766780209471150442e+00,-1.397564193123329135e+00,-1.817211036728488693e+01
8.500000000000000000e+01,2.407275213436263641e+02,2.919994495550443769e+00,-3.871819757712351162e+01,-3.362765465482175364e-01,1.895292222175600644e-02,4.811667185298782595e-02,-2.807688945184987794e+00,-1.398697196958403222e+00,-1.847182781657990702e+01
8.600000000000000000e+01,2.407664572334345507e+02,2.922728120730228696e+00,-3.872427843566050143e+01,-3.364942932900799599e-01,1.891199954341643216e-02,4.842342920886932162e-02,-2.843820716672396109e+00,-1.401733740656298854e+00,-1.877651288050437728e+01
8.700000000000000000e+01,2.408058770033330518e+02,2.925047192855777745e+00,-3.872996016527695673e+01,-3.366806115926114784e-01,1.879000108044479728e-02,4.868718028612030457e-02,-2.872350102922938575e+00,-1.406293595650507600e+00,-1.908891432439954272e+01
8.800000000000000000e+01,2.408446995618812991e+02,2.926775682727948524e+00,-3.873517252210684347e+01,-3.368231426951515672e-01,1.860689445173221296e-02,4.888271147239343917e-02,-2.890728333604240419e+00,-1.411870483969917656e+00,-1.941150363625603603e+01
8.900000000000000000e+01,2.408817294805606082e+02,2.927812745152884588e+00,-3.873986140397669686e+01,-3.369148875334608828e-01,1.838798423486797187e-02,4.899422855323222470e-02,-2.896921860210837973e+00,-1.417857467073485589e+00,-1.974624470873227011e+01
9.000000000000000000e+01,2.409158193538625881e+02,2.928138895337486058e+00,-3.874399682985399807e+01,-3.369546387995294157e-01,1.816067406766360207e-02,4.901646198055568254e-02,-2.889854869304810947e+00,-1.423588633641703405e+00,-2.009415814882356344e+01
9.100000000000000000e+01,2.409460132180579137e+02,2.927812360077767018e+00,-3.874757729483314961e+01,-3.369467076714930953e-01,1.795121685025041769e-02,4.895448540488708117e-02,-2.869995037492661716e+00,-1.428405559103919309e+00,-2.045474021304736212e+01
9.200000000000000000e+01,2.409716563516064696e+02,2.926956773911233434e+00,-3.875063039150585809e+01,-3.369000343609607206e-01,1.778183826488765815e-02,4.882235956072433769e-02,-2.839834164224047441e+00,-1.431750091385030954e+00,-2.082548434622045974e+01
9.300000000000000000e+01,2.409924616630162291e+02,2.925742373183144007e+00,-3.875320999850441694e+01,-3.368268412330795436e-01,1.766854480634990482e-02,4.864085243466316488e-02,-2.803845050194693211e+00,-1.433267068740978756e+00,-2.120192391128512810e+01
9.400000000000000000e+01,2.410085285666744426e+02,2.924363438966927742e+00,-3.875539065510674419e+01,-3.367410272132839721e-01,1.761981683550307293e-02,4.843457976448987262e-02,-2.767624240691602733e+00,-1.432879426922949673e+00,-2.157848675771669278e+01
9.500000000000000000e+01,2.410203159889778988e+02,2.923014911049127029e+00,-3.875725995983285088e+01,-3.366565109042077841e-01,1.763626074655126261e-02,4.822894762280603709e-02,-2.736468961900473840e+00,-1.430796754687456485e+00,-2.194991380891136856e+01
9.600000000000000000e+01,2.410285762265827998e+02,2.921870881172042633e+00,-3.875890995456720134e+01,-3.365857118164147233e-01,1.771117309458571099e-02,4.804726306964175742e-02,-2.714120988442839444e+00,-1.427449739391171146e+00,-2.231250958881998869e+01
9.700000000000000000e+01,2.410342602439145594e+02,2.921067170678723013e+00,-3.876042848837806076e+01,-3.365383222632807314e-01,1.783186967453514668e-02,4.790832047364523838e-02,-2.702262502154912038e+00,-1.423382910239913146e+00,-2.266464034234357428e+01
9.800000000000000000e+01,2.410384073136226846e+02,2.920689521045232606e+00,-3.876189149868143602e+01,-3.365204751346660417e-01,1.798156324868214681e-02,4.782468531938435102e-02,-2.700755295806755107e+00,-1.419150427569922934e+00,-2.300648908291372052e+01
9.900000000000000000e+01,2.410420325665622556e+02,2.920768181367026983e+00,-3.876335700371628690e+01,-3.365343618135510084e-01,1.814153726001023481e-02,4.780179933356808186e-02,-2.708227964719234215e+00,-1.415241813953833194e+00,-2.333946351802037356e+01
1.000000000000000000e+02,2.410460251261001758e+02,2.921278946291888445e+00,-3.876486137757537875e+01,-3.365783047186443055e-01,1.829335697644726005e-02,4.783793292932374264e-02,-2.722649850916062153e+00,-1.412041114039942702e+00,-2.366561854105708917e+01
1.010000000000000000e+02,2.410510673097529093e+02,2.922150037752234031e+00,-3.876641819651317888e+01,-3.366472434672346803e-01,1.842087922673844511e-02,4.792492193589396876e-02,-2.741737297997085765e+00,-1.409810776650267883e+00,-2.398724801351895408e+01
1.020000000000000000e+02,2.410575822455291757e+02,2.923273673593822508e+00,-3.876801963443335097e+01,-3.367335548033901782e-01,1.851186184682876087e-02,4.804955095758542405e-02,-2.763190992420504255e+00,-1.408690177233851593e+00,-2.430664715884347515e+01
1.030000000000000000e+02,2.410657135791613825e+02,2.924520757348077371e+00,-3.876964008635856374e+01,-3.368280965575634611e-01,1.855902911154260621e-02,4.819538934248196460e-02,-2.784820718419473096e+00,-1.408701831640616353e+00,-2.462598915315484760e+01
1.040000000000000000e+02,2.410753371616558809e+02,2.925756884245317213e+00,-3.877124145230861529e+01,-3.369213475219761111e-01,1.856051489690999090e-02,4.834485075847987090e-02,-2.804616779608644972e+00,-1.409761814227201926e+00,-2.494725640449473758e+01
1.050000000000000000e+02,2.410861011029573433e+02,2.926857811924403752e+00,-3.877277935357433591e+01,-3.370045105371463623e-01,1.851967573105093093e-02,4.848123636642594214e-02,-2.820813151662833640e+00,-1.411693375726780442e+00,-2.527218106596944125e+01
1.060000000000000000e+02,2.410974877051943963e+02,2.927722699656288619e+00,-3.877420949708805864e+01,-3.370704565017254573e-01,1.844433487687329939e-02,4.859053596121644392e-02,-2.831971551803196263e+00,-1.414244268769309754e+00,-2.560216512008381784e+01
1.070000000000000000e+02,2.411088888178093441e+02,2.928283764332210826e+00,-3.877549345132961633e+01,-3.371144117196793744e-01,1.834557891450960473e-02,4.866280034349006883e-02,-2.837099088864788232e+00,-1.417109039710701568e+00,-2.593816686523436843e+01
1.080000000000000000e+02,2.411196852527756960e+02,2.928511494405329429e+00,-3.877660323191251024e+01,-3.371343269179185032e-01,1.823627277677877107e-02,4.869295750362311048e-02,-2.835790767837313542e+00,-1.419957494354499916e+00,-2.628056205867188311e+01
1.090000000000000000e+02,2.411293211040811286e+02,2.928415138653282845e+00,-3.877752428815002617e+01,-3.371309082826158821e-01,1.812948216236521387e-02,4.868101753718388075e-02,-2.828359898741019673e+00,-1.422469370606362915e+00,-2.662901628344989646e+01
